slug,title,description,details,imgUrl,price,discount,mrp,isMember,isAuthDealer,isFeaturedMember,membershipLevel,shopName,isDoorstepDelivery,isDeliveryFree,isTopAd,isUrgentAd,timeStamp,category,isVerified,isJobAd,location,adType,isLocalJob
saaikel-er-sttaan-paaikaari-khucraa-bikri-for-sale-dhaka,সাইকেল এর স্টান পাইকারি-খুচরা বিক্রি,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/saaikel-er-sttaan-paaikaari-khucraa-bikri-for-sale-dhaka/1ba0c654-cedd-40d0-a131-414ca3d79b2a/142/107/cropped.jpg,Tk 120,0,0,False,False,False,free,,False,False,False,False,just now, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
single-khat-for-sale-dhaka-221,Single Khat,"Dhaka, Bedroom Furniture",,https://i.bikroy-st.com/single-khat-for-sale-dhaka-221/237fc524-e242-49e0-b142-76c22d87b453/142/107/cropped.jpg,"Tk 3,500",0,0,False,False,False,free,,False,False,False,False,1 minute, Bedroom Furniture,False,False,Dhaka,for_sale,False
ektti-sekendd-hendd-phresh-mottrsaaikel-kryy-krte-icchuk-to-buy-mymensingh,একটি সেকেন্ড হেন্ড ফ্রেশ মোটরসাইকেল ক্রয় করতে ইচ্ছুক,"Mymensingh, Motorbikes",,,,0,0,False,False,False,free,,False,False,False,False,1 minute, Motorbikes,False,False,Mymensingh,to_buy,False
yamaha-fzs-v3-2019-for-sale-dhaka-division-41,Yamaha FZS v3 2019,"Dhaka Division, Motorbikes","24,000 km, 150 cc",https://i.bikroy-st.com/yamaha-fzs-v3-2019-for-sale-dhaka-division-41/97f09dfa-df47-4483-9e60-d36f8c7a2274/142/107/cropped.jpg,"Tk 183,000",0,0,False,False,False,free,,False,False,False,False,1 minute, Motorbikes,False,False,Dhaka Division,for_sale,False
baaik-er-mjbut-helmett-daam-phiksdd-500-for-sale-dhaka,বাইক এর মজবুত হেলমেট,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/baaik-er-mjbut-helmett-daam-phiksdd-500-for-sale-dhaka/40976934-449c-4e1a-bb6e-a1bb8e136a7f/142/107/cropped.jpg,Tk 500,0,0,False,False,False,free,,False,False,False,False,4 minutes, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
i5-120gb-ssd-4gb-ram-for-sale-dhaka-1,i5/-120gb Ssd /-4gb Ram,"Dhaka, Laptop & Computer Accessories",,https://i.bikroy-st.com/i5-120gb-ssd-4gb-ram-for-sale-dhaka-1/62281a68-5327-4fd3-b7de-79287d8971bc/142/107/cropped.jpg,"Tk 3,500",0,0,False,False,False,free,,False,False,False,False,6 minutes, Laptop & Computer Accessories,False,False,Dhaka,for_sale,False
km-daame-baaik-er-helmett-for-sale-dhaka,কম দামে বাইক এর হেলমেট,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/km-daame-baaik-er-helmett-for-sale-dhaka/926c1c05-17c3-4a6d-be04-c231d9bec367/142/107/cropped.jpg,Tk 100,0,0,False,False,False,free,,False,False,False,False,6 minutes, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
phresh-baaik-helmett-for-sale-dhaka,ফ্রেশ বাইক হেলমেট,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/phresh-baaik-helmett-for-sale-dhaka/5ac33aa1-a158-49f9-9f78-4cc3fb7d939f/142/107/cropped.jpg,Tk 400,0,0,False,False,False,free,,False,False,False,False,8 minutes, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
baaik-phul-pheij-helmett-for-sale-dhaka,বাইক ফুল ফেইজ হেলমেট,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/baaik-phul-pheij-helmett-for-sale-dhaka/09990206-5d01-41e9-91b3-6e14f119b8ec/142/107/cropped.jpg,"Tk 1,200",0,0,False,False,False,free,,False,False,False,False,12 minutes, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
samsung-galaxy-a70-6-128-used-for-sale-dhaka-343,Samsung Galaxy A70 6/128 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-a70-6-128-used-for-sale-dhaka-343/6143acc6-9d3a-4377-b6cd-02618298352d/142/107/cropped.jpg,"Tk 15,499",0,0,False,False,False,free,,False,False,False,False,12 minutes, Mobile Phones,False,False,Dhaka,for_sale,False
apple-iphone-13-pro-max-256gb-92-percent-health-uae-used-for-sale-dhaka,Apple iPhone 13 Pro Max 256gb 92% health UAE (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/apple-iphone-13-pro-max-256gb-92-percent-health-uae-used-for-sale-dhaka/d04ef09b-3f4c-4b66-a747-2d4411723668/142/107/cropped.jpg,"Tk 92,000",0,0,False,False,False,free,,False,False,False,False,14 minutes, Mobile Phones,False,False,Dhaka,for_sale,False
1pair-running-kadaknath-and-deshi-murgi-for-sale-dhaka,1pair running kadaknath and deshi murgi,"Dhaka, Farm Animals",,https://i.bikroy-st.com/1pair-running-kadaknath-and-deshi-murgi-for-sale-dhaka/7252f272-6dc8-4057-b744-165e8abf8a33/142/107/cropped.jpg,"Tk 4,200",0,0,False,False,False,free,,False,False,False,False,14 minutes, Farm Animals,False,False,Dhaka,for_sale,False
2-tti-glaas-sh-baaik-helmett-puraatn-for-sale-dhaka,২ টি গ্লাস সহ বাইক হেলমেট পুরাতন,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/2-tti-glaas-sh-baaik-helmett-puraatn-for-sale-dhaka/71d071b4-eaff-4ded-9b83-0a4caba84b19/142/107/cropped.jpg,Tk 500,0,0,False,False,False,free,,False,False,False,False,14 minutes, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
ledaar-er-baaik-helmett-for-sale-dhaka,লেদার এর বাইক হেলমেট,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/ledaar-er-baaik-helmett-for-sale-dhaka/f2c7dac5-bb19-45d1-972e-dbbe693e2934/142/107/cropped.jpg,Tk 400,0,0,False,False,False,free,,False,False,False,False,15 minutes, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
khucraa-paaikaarii-phuttpeg-km-daame-bikri-for-sale-dhaka,খুচরা-পাইকারী ফুটপেগ কম দামে বিক্রি,"Dhaka, Auto Parts & Accessories",,https://i.bikroy-st.com/khucraa-paaikaarii-phuttpeg-km-daame-bikri-for-sale-dhaka/07a67688-03b1-413d-bab9-4bfd561e8b89/142/107/cropped.jpg,Tk 70,0,0,False,False,False,free,,False,False,False,False,17 minutes, Auto Parts & Accessories,False,False,Dhaka,for_sale,False
vivo-y12s-3-32-used-for-sale-dhaka-944,Vivo Y12s 3/32 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/vivo-y12s-3-32-used-for-sale-dhaka-944/e2f75503-fea8-40ae-80f6-567da8fc5710/142/107/cropped.jpg,"Tk 8,000",0,0,False,False,False,free,,False,False,False,False,18 minutes, Mobile Phones,False,False,Dhaka,for_sale,False
lenovo-core-i7-new-condition-for-sale-dhaka,Lenovo Core i7 New Condition,"Dhaka, Laptops",,https://i.bikroy-st.com/lenovo-core-i7-new-condition-for-sale-dhaka/a950486f-623e-4d3b-8742-9fc7be5e84a6/142/107/cropped.jpg,"Tk 20,500",0,0,False,False,False,free,,False,False,False,False,23 minutes, Laptops,False,False,Dhaka,for_sale,False
samsung-galaxy-a51-khilgaon-used-for-sale-dhaka,Samsung Galaxy A51 mobile (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-a51-khilgaon-used-for-sale-dhaka/5b6ac321-094d-4f9c-9423-71dd60b24fd1/142/107/cropped.jpg,"Tk 14,000",0,0,False,False,False,free,,False,False,False,False,23 minutes, Mobile Phones,False,False,Dhaka,for_sale,False
samsung-galaxy-j7-star-2-32-used-for-sale-dhaka,Samsung Galaxy J7 2/32 (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-j7-star-2-32-used-for-sale-dhaka/bbb3c503-99a7-43be-ad75-bdde60b4f980/142/107/cropped.jpg,"Tk 4,600",0,0,False,False,False,free,,False,False,False,False,24 minutes, Mobile Phones,False,False,Dhaka,for_sale,False
tvs-apache-rtr-2015-for-sale-dhaka-2252,TVS Apache RTR modified 2015,"Dhaka, Motorbikes","35,000 km, 150 cc",https://i.bikroy-st.com/tvs-apache-rtr-2015-for-sale-dhaka-2252/8bd4baa7-a617-47d3-8b95-03cec4248572/142/107/cropped.jpg,"Tk 120,000",0,0,False,False,False,free,,False,False,False,False,25 minutes, Motorbikes,False,False,Dhaka,for_sale,False
persian-adult-male-cat-for-sale-dhaka-26,Persian Adult Male Cat,"Dhaka, Pets",,https://i.bikroy-st.com/persian-adult-male-cat-for-sale-dhaka-26/4cea942d-eff2-4790-a312-f0dc29679f43/142/107/cropped.jpg,"Tk 16,000",0,0,False,False,False,free,,False,False,False,False,26 minutes, Pets,False,False,Dhaka,for_sale,False
aasun-eksngge-jmi-kine-grre-tuli-nijer-baarri-for-sale-dhaka,"আসুন একসঙ্গে জমি কিনে গড়ে তুলি নিজের বাড়ি,","Dhaka, Apartments For Sale","Bedrooms: 3, Bathrooms: 3",https://i.bikroy-st.com/aasun-eksngge-jmi-kine-grre-tuli-nijer-baarri-for-sale-dhaka/a6af949f-36d1-4fc2-abc3-bab43fb47d99/142/107/cropped.jpg,"Tk 1,500,000 total price",0,0,False,False,False,free,,False,False,False,False,26 minutes, Apartments For Sale,False,False,Dhaka,for_sale,False
vivo-y67a-4-64-boxed-used-for-sale-khulna-division,Vivo Y67A 4/64 Boxed (Used),"Khulna Division, Mobile Phones",,https://i.bikroy-st.com/vivo-y67a-4-64-boxed-used-for-sale-khulna-division/7eb2324d-b6eb-422e-8d1e-d89a86bcdbe6/142/107/cropped.jpg,"Tk 6,600",0,0,False,False,False,free,,False,False,False,False,27 minutes, Mobile Phones,False,False,Khulna Division,for_sale,False
digipod-dslr-camera-stan-55-fit-for-sale-dhaka,DIGIPOD DSLR Camera Stan 5.5 fit,"Dhaka, Cameras, Camcorders & Accessories",,https://i.bikroy-st.com/digipod-dslr-camera-stan-55-fit-for-sale-dhaka/0ad8e7d6-9ce5-4289-af0d-7410c77972bf/142/107/cropped.jpg,"Tk 1,200",0,0,False,False,False,free,,False,False,False,False,27 minutes," Cameras, Camcorders & Accessories",False,False,Dhaka,for_sale,False
ryzen-3-3200g-gaming-processor-only-pc-setup-for-sale-dhaka,Ryzen 3 3200G gaming processor Only Pc setup,"Dhaka, Desktop Computers",,https://i.bikroy-st.com/ryzen-3-3200g-gaming-processor-only-pc-setup-for-sale-dhaka/f750a925-7f94-4f76-80c0-b13e1d589439/142/107/cropped.jpg,"Tk 22,000",0,0,False,False,False,free,,False,False,False,False,29 minutes, Desktop Computers,False,False,Dhaka,for_sale,False
oneplus-7t-8-128-gb-fresh-used-for-sale-khulna-division,OnePlus 7T 8/128 GB Fresh (Used),"Khulna Division, Mobile Phones",,https://i.bikroy-st.com/oneplus-7t-8-128-gb-fresh-used-for-sale-khulna-division/77394f87-af66-4855-8538-55bae2ca54e2/142/107/cropped.jpg,"Tk 22,500",0,0,False,False,False,free,,False,False,False,False,29 minutes, Mobile Phones,False,False,Khulna Division,for_sale,False
boya-microphone-for-sale-khulna-division-2,Boya Microphone,"Khulna Division, Musical Instruments",,https://i.bikroy-st.com/boya-microphone-for-sale-khulna-division-2/db33ff0d-30d0-4599-83f7-2ba21a0ed967/142/107/cropped.jpg,"Tk 1,550",0,0,False,False,False,free,,False,False,False,False,29 minutes, Musical Instruments,False,False,Khulna Division,for_sale,False
dji-om4-gimbal-for-sale-dhaka,Dji OM4 Gimbal,"Dhaka, Mobile Phone Accessories",,https://i.bikroy-st.com/dji-om4-gimbal-for-sale-dhaka/8abf3eac-9eb9-4835-8d24-c125476f0521/142/107/cropped.jpg,"Tk 10,000",0,0,False,False,False,free,,False,False,False,False,30 minutes, Mobile Phone Accessories,False,False,Dhaka,for_sale,False
5-station-multi-gym-for-sale-dhaka-4,5 station Multi Gym,"Dhaka, Fitness & Gym",,https://i.bikroy-st.com/5-station-multi-gym-for-sale-dhaka-4/d27f85d0-ad76-4e72-bc9f-e7e4d22adab2/142/107/cropped.jpg,"Tk 118,000",0,0,False,False,False,free,,False,False,False,False,bump_up, Fitness & Gym,False,False,Dhaka,for_sale,False
samsung-galaxy-j7-2016-used-for-sale-khulna-455,Samsung Galaxy J7 2016 (Used),"Khulna, Mobile Phones",,https://i.bikroy-st.com/samsung-galaxy-j7-2016-used-for-sale-khulna-455/f63e8b52-832f-4736-842f-7aede7b73998/142/107/cropped.jpg,"Tk 2,800",0,0,False,False,False,free,,False,False,False,False,35 minutes, Mobile Phones,False,False,Khulna,for_sale,False
apple-iphone-xs-max-256gb-used-for-sale-dhaka-884,Apple iPhone XS Max 256GB (Used),"Dhaka, Mobile Phones",,https://i.bikroy-st.com/apple-iphone-xs-max-256gb-used-for-sale-dhaka-884/7e6c7469-ecf1-418b-876d-23bd6267fc74/142/107/cropped.jpg,"Tk 39,500",0,0,False,False,False,free,,False,False,False,False,36 minutes, Mobile Phones,False,False,Dhaka,for_sale,False
